z	ldistance	m1z	m2z	ra	dec	iota	pol	tc	s1x	s1y	s1z	s2x	s2y	s2z	snr
0.50936	2896.74707	42.67993	17.99001	3.34115	0.70139	0.87316	2.94567	1251807539.53245	-0.15176	0.19881	0.18023	-0.33886	-0.35570	-0.20729	6.62138
0.90946	5876.80291	39.79523	10.54154	5.24679	-0.28154	0.37627	5.25323	1251823333.98189	-0.23002	-0.48779	0.19450	0.01718	0.36226	0.06186	5.14762
1.02431	6806.93545	55.57061	22.56082	1.51938	0.11863	0.60004	1.52687	1251765693.02536	-0.00065	-0.00041	-0.00061	0.46815	-0.09620	-0.06195	5.01234
0.70860	4323.92775	32.22604	13.47331	0.98917	0.23722	0.14077	3.87788	1251806410.63937	-0.64479	-0.24702	-0.46720	-0.06695	0.00489	0.01608	7.25077
0.25960	1315.45254	6.53456	6.32222	5.21235	1.38805	1.12417	5.48269	1251777690.66936	0.02212	-0.03766	-0.02736	-0.48930	0.52330	0.09295	5.50284
1.30808	9211.95810	103.24618	69.36862	3.08031	-0.04881	0.89121	6.17650	1251757314.56305	0.00393	0.00526	-0.10001	0.14481	0.57181	-0.05721	5.75291
0.83760	5309.68380	21.67093	21.46898	3.43414	-0.09246	0.14977	0.54356	1251801551.47490	-0.65578	-0.13857	0.70988	-0.13803	0.39867	0.44715	6.99226
0.77725	4843.12298	84.65954	78.57359	3.93239	0.95172	1.56099	1.23244	1251803019.88517	-0.40750	0.04256	0.11696	0.32719	0.20663	-0.56129	5.67557
0.92954	6037.42852	32.66512	20.72005	6.06745	-1.31892	0.04542	4.00829	1251814652.28134	-0.46065	0.07187	0.07856	-0.02186	0.09541	0.37348	6.44201
1.31925	9309.28969	52.62067	48.72045	2.64226	-0.46137	0.38406	5.21792	1251780286.96999	-0.09550	-0.10695	0.23061	-0.86020	0.24987	-0.30977	7.52630
1.35731	9642.48090	100.81094	56.82317	5.35702	0.68583	0.47403	6.08068	1251797327.68107	-0.64148	0.18133	0.57453	0.42995	-0.02498	-0.75647	6.18458
0.98659	6498.44545	53.47476	30.21601	3.29759	1.03677	1.09348	4.87942	1251827262.13018	0.12176	-0.00504	0.01807	0.01937	-0.01477	-0.07792	5.15746
1.32186	9332.06527	94.20269	73.77764	2.02377	0.27275	0.98840	5.41088	1251818998.49791	-0.09246	-0.42251	0.32915	0.09987	0.22463	-0.37804	7.01686
1.28254	8990.01235	51.74814	47.89165	4.48620	-1.33371	0.44436	0.36323	1251806048.78141	0.18672	-0.23076	-0.42253	-0.06713	0.01938	-0.11852	6.30412
0.78783	4924.19468	29.62625	17.81101	0.90222	-0.38541	0.49297	2.01892	1251773348.26877	0.30459	-0.12899	-0.67893	-0.02523	-0.11651	0.07408	5.08415
1.46511	10597.39499	114.06984	78.80840	6.17236	1.02214	0.49680	0.01519	1251764450.36648	-0.14620	0.02087	0.46141	0.05194	0.02904	-0.64278	7.36910
1.37793	9823.92715	73.54779	50.32993	4.16740	-1.29666	0.52866	0.00373	1251813130.58490	0.05248	-0.12075	-0.48272	0.38552	-0.10799	-0.11501	6.14119
1.47466	10682.76583	65.25506	60.73829	0.57320	0.37143	0.40382	4.72218	1251754172.68646	0.25040	0.10218	0.38620	0.05521	0.16306	0.11554	5.70389
0.74970	4633.20942	28.03702	20.84552	3.32620	0.31191	0.53749	1.16392	1251808584.69342	0.46899	-0.03731	0.14386	0.34559	0.49728	0.01041	5.93435
0.35851	1909.85939	12.09691	8.90654	0.44102	-0.68302	0.86021	1.11456	1251760862.99335	0.48139	0.28319	-0.69958	-0.11493	-0.28659	-0.12631	7.30615
0.77149	4799.00867	78.57964	15.59788	5.38632	-0.35554	0.12123	4.52250	1251754448.20105	-0.54557	0.27001	0.05908	0.06043	0.07149	0.14146	5.05788
0.80563	5061.37184	31.05377	20.76738	1.30792	0.68387	0.91702	3.97501	1251811355.41505	0.29670	0.09749	-0.01208	0.24781	-0.13280	-0.06291	5.90843
0.74479	4595.99826	50.84627	39.15976	5.29640	0.39695	0.70251	4.43150	1251811196.62713	-0.16860	0.20243	0.19392	-0.22893	-0.71922	0.34869	6.68861
1.22292	8475.84216	49.63633	40.61455	5.85447	0.31050	0.78370	3.21285	1251791946.28814	0.11503	-0.56683	-0.11540	0.13938	0.14942	-0.01704	5.10222
1.22784	8518.08400	89.38273	47.62782	4.92194	0.06578	0.31741	5.23252	1251806829.01043	-0.30178	-0.80281	-0.09970	-0.66737	-0.24508	0.68181	6.78291
0.91502	5921.19380	60.74869	42.44390	1.25270	0.76589	0.99695	2.27031	1251798913.72884	-0.37518	0.19638	-0.13219	-0.05081	-0.00769	-0.01807	6.71170
1.41728	10171.72187	78.48551	41.07951	5.60431	0.63055	0.30327	0.84110	1251779220.35733	-0.27930	-0.67608	-0.02372	-0.43970	0.45623	0.34094	7.78629
0.52057	2973.57008	43.13211	24.56073	5.52808	-0.10490	1.34859	5.72188	1251791007.56764	-0.13294	-0.05686	-0.17089	0.45892	-0.48345	0.61241	6.70798
1.19418	8230.02544	75.64856	51.64329	4.60304	-0.09829	0.73564	2.62393	1251826483.86523	0.20269	-0.10046	0.04028	0.13974	-0.45954	-0.11354	5.73521
1.39607	9983.96340	80.42159	47.26596	4.34705	0.37376	0.58766	6.19057	1251753594.23388	-0.07914	0.02644	-0.02845	0.00156	0.00005	0.00581	5.84562
0.54410	3136.25315	33.48127	26.30097	3.44966	1.16646	0.90428	5.73577	1251788244.76968	0.89276	0.20392	0.16746	-0.20616	0.19825	0.32535	7.09893
0.78517	4903.75417	28.99022	16.43104	4.21526	1.34620	0.61773	3.15196	1251830756.89625	-0.25723	0.07828	0.20903	-0.11001	-0.41079	-0.31766	5.34046
0.70542	4300.18745	37.55364	14.86606	5.10214	0.27776	0.47304	2.53514	1251813860.65282	-0.04185	-0.08753	-0.05603	-0.17594	0.06705	0.42426	5.78095
0.89049	5725.93009	90.41938	69.58098	1.14995	1.32004	1.33529	5.12204	1251835852.21794	0.12049	0.11813	-0.70380	0.01950	0.03454	-0.01256	5.17320
1.05441	7055.18639	53.06738	27.27097	5.08644	1.20476	0.36827	0.49477	1251799257.01407	0.02248	0.01223	-0.08624	-0.06734	0.86605	-0.36908	5.50756
1.45459	10503.50440	82.32631	79.10810	5.44869	-0.73657	0.59363	6.01938	1251788622.82395	-0.49429	0.31167	0.68112	-0.55570	-0.25921	-0.11092	5.14894
1.31637	9284.15154	76.98508	60.78017	1.15328	-0.72580	0.48981	3.10316	1251787200.73722	-0.20771	0.30446	-0.06733	0.65299	0.34118	-0.08731	5.13864
0.67328	4061.92223	35.08133	14.57001	1.44296	0.62067	0.79187	5.30898	1251822877.36437	0.10754	-0.11313	-0.08177	0.12955	-0.59632	0.26427	5.76102
1.16324	7966.98459	56.93846	47.76871	0.74182	0.61046	0.84521	0.73414	1251781591.63442	0.02958	0.14566	0.71700	-0.15321	0.31746	0.23156	6.28132
1.31301	9254.91551	94.40138	77.73021	5.97448	0.23984	0.48600	4.74013	1251833373.74597	-0.03696	0.21123	-0.26839	0.70996	0.26763	0.02942	7.55677
0.67588	4081.08488	62.38395	38.74636	5.42465	-0.42558	1.40972	3.12544	1251822995.49077	0.21694	-0.07938	-0.74689	0.54862	-0.31775	0.15230	5.27457
0.83203	5266.21726	40.61241	25.59076	5.59792	-0.59405	0.70816	5.01087	1251833579.12386	-0.01698	0.18448	0.28579	-0.00150	-0.00599	-0.06429	7.15549
0.94753	6182.02355	92.87633	61.41256	6.08346	0.43369	1.10754	3.09423	1251768111.15466	-0.19701	0.64074	0.67684	-0.20281	0.37227	-0.85562	6.83753
0.22518	1119.56193	11.02833	7.05653	1.15672	0.18424	1.20856	3.56838	1251784768.61106	-0.52122	0.45012	-0.02972	-0.04879	0.67887	-0.06647	6.08607
1.22889	8527.01542	108.39044	68.35102	2.67043	0.98946	0.75846	2.47434	1251777733.01927	-0.01652	0.20341	-0.07589	0.20943	-0.19969	0.22396	6.05433
1.10618	7486.21183	44.56718	22.37946	1.58553	0.36870	0.43837	2.22863	1251812969.78969	0.09800	0.28999	0.01477	0.32510	-0.02644	0.13133	6.13305
1.00689	6664.10795	81.31053	57.97930	2.84238	0.59472	0.93716	4.35113	1251801958.73293	0.14270	0.34406	-0.20431	0.88329	0.43178	0.17389	5.93226
0.79154	4952.71575	30.41013	22.50771	5.02249	1.42777	0.85185	2.76629	1251773611.75601	-0.00675	-0.48290	-0.48144	0.03707	-0.01128	0.02388	5.27198
1.41549	10155.92509	96.29727	61.63627	5.58270	0.96033	1.16061	2.99850	1251781887.53225	0.24144	-0.37738	0.18325	0.35993	0.46086	0.11251	5.66036
0.81013	5096.19273	58.64420	35.56505	1.13880	-0.80833	1.37894	2.40065	1251775019.21698	-0.15851	-0.39456	-0.51051	-0.42453	-0.12583	-0.26426	5.02050
1.31622	9282.91808	56.24713	45.60711	0.67505	0.35009	0.24270	1.74647	1251805550.11334	-0.38052	0.24096	0.47894	-0.11980	-0.80285	-0.29436	7.73890
1.40027	10021.13652	118.82762	89.52621	5.21516	-0.83674	0.77869	6.27248	1251787376.67094	0.09248	0.15194	-0.13026	0.02329	0.61777	-0.18317	5.00929
1.40612	10072.86997	110.42209	63.71708	1.18042	1.09507	0.87140	2.73666	1251791310.38563	0.54101	0.15570	-0.22517	0.27513	-0.02660	-0.37785	5.69278
0.67287	4058.87460	28.44073	15.82333	4.70748	-0.10587	0.74458	2.51987	1251816718.51349	-0.13998	0.19158	-0.07016	0.32840	0.24235	0.49424	6.34247
1.40271	10042.71605	119.30439	72.06221	1.54397	-1.21238	0.92954	4.50620	1251798507.02664	-0.04413	-0.60802	0.29917	-0.08967	-0.61215	-0.65688	5.12022
1.04302	6961.08946	43.07583	30.79170	1.68146	0.06465	0.73339	0.29132	1251812132.88830	-0.28562	0.16444	-0.20812	0.18996	0.77162	0.36978	5.55911
1.11188	7533.97307	41.60748	28.20292	6.13458	0.47596	0.49609	1.48125	1251763184.76372	-0.44118	0.37150	0.49668	-0.13865	0.01586	0.14756	5.32531
1.18718	8170.34995	74.28775	73.40811	1.99199	0.78719	0.09633	0.94254	1251784239.50294	0.17816	-0.17781	0.06337	0.06818	0.34699	0.69183	7.50679
0.52624	3012.60371	13.17111	11.98142	5.11672	-0.51573	0.62854	3.75658	1251802756.27926	-0.29578	0.55630	-0.65130	0.72463	0.41938	-0.37989	5.27607
1.03498	6894.77667	79.56347	52.68601	5.63575	-0.25202	0.66188	4.34435	1251771422.71384	0.06027	0.18848	-0.20423	-0.24100	-0.06976	-0.09486	5.21274
0.77521	4827.45326	26.78405	26.22266	4.83275	-0.33415	0.66207	1.03222	1251803029.60216	-0.08137	-0.08178	-0.50466	-0.27189	0.44171	0.15066	5.74111
1.43849	10360.15694	61.27044	34.98809	4.72332	1.17160	0.22426	0.20953	1251753465.94909	-0.09288	-0.04672	-0.21521	-0.19037	-0.75078	-0.39265	5.04324
0.87740	5622.27290	73.54153	31.60823	6.27865	0.04751	0.87774	1.31973	1251761147.45448	-0.02283	0.08377	0.07930	-0.00866	0.03331	0.01190	5.79463
1.41131	10118.84555	81.08033	76.22103	3.39921	-0.14850	0.43582	2.21408	1251791352.07415	-0.35263	-0.44635	-0.66492	0.43218	-0.46672	-0.32483	7.80463
1.15445	7892.54887	49.03868	35.81636	5.95300	0.47534	0.30807	2.19120	1251801030.09760	0.05006	-0.00665	0.00308	0.06648	0.41296	0.36545	5.97871
0.82885	5241.45747	69.31263	47.88689	3.82871	1.02646	0.91369	3.52228	1251818715.32024	-0.74499	0.09115	0.09018	0.49183	-0.22812	-0.32046	7.35042
1.34988	9577.30510	90.58543	61.24128	3.32173	0.02914	0.26707	0.88118	1251757404.10113	0.27251	0.00050	-0.61708	0.00432	0.00670	0.01993	7.47474
0.56215	3262.36675	21.80242	19.60933	1.97762	-0.36266	0.75935	6.10766	1251822555.97971	0.01414	-0.02858	0.03202	-0.22207	0.18251	0.02309	5.65506
0.83707	5305.54037	45.72512	45.02859	4.12964	0.45040	0.70946	6.07009	1251773799.46141	0.14175	0.53854	-0.51587	0.12599	0.09402	0.10652	7.54089
1.11473	7557.88621	61.79701	61.11927	1.94449	-0.02930	0.34062	5.28287	1251762409.48129	-0.04096	-0.04075	0.10442	0.77569	0.27611	-0.15336	6.32261
0.63685	3795.55899	88.65962	68.63253	2.93966	0.91679	1.50334	0.08123	1251789627.53765	0.36826	0.39660	0.40281	-0.12073	-0.03091	-0.38906	5.80570
0.46863	2621.53764	42.64676	36.59448	6.09898	0.13170	1.53935	2.53718	1251835734.55735	0.17758	-0.07696	0.94176	-0.05849	0.01988	-0.05631	7.30659
1.07713	7243.78811	94.08738	29.33196	4.53778	1.18486	1.05653	4.43290	1251765120.73271	0.45270	-0.42765	0.04000	0.06215	0.64838	0.55150	5.36461
1.48827	10804.60781	90.23338	67.68244	2.79712	0.45208	0.41554	3.22840	1251764481.07501	-0.62105	-0.00917	0.54252	-0.47181	0.16702	0.12694	5.07748
0.54734	3158.79809	17.02243	15.51979	3.78640	-0.33127	0.49106	1.27318	1251770321.45068	0.27308	-0.28711	-0.00214	0.18638	0.34678	0.04143	6.39787
0.56823	3305.03880	25.76289	18.67047	4.71518	-0.39031	0.64354	5.93805	1251761231.93585	-0.00989	-0.02158	-0.03402	0.01116	-0.01819	-0.00724	5.66546
1.30018	9143.17501	60.66650	59.64060	3.02657	-0.30929	0.55757	1.64777	1251798872.14656	-0.14191	0.13391	0.43084	0.04115	-0.04824	-0.02816	7.30226
0.94665	6174.89925	74.75193	56.36996	3.37609	1.18531	1.23739	1.83776	1251837528.80585	0.23803	0.01291	0.66109	-0.03621	-0.63885	0.05249	5.89709
1.38748	9908.16985	100.02877	57.66246	2.18334	-0.06535	0.11529	4.10291	1251761849.05782	-0.44414	0.54090	0.15029	0.65641	0.62559	0.24191	5.47885
1.29427	9091.83271	78.22273	68.41391	3.55086	-0.38248	0.80719	2.53100	1251774962.09055	-0.13899	-0.48168	-0.04769	0.06001	-0.07455	0.01873	5.92152
1.27206	8899.20270	51.13834	39.95936	0.43890	0.39612	0.36245	5.27389	1251770468.45851	0.02056	-0.06318	0.04423	-0.15997	-0.30393	0.37242	5.63252
1.24874	8697.80649	73.61265	65.19526	2.26536	-0.31529	0.82471	4.21118	1251786176.41078	-0.01722	-0.49462	0.02212	0.18683	-0.34714	0.33380	7.43945
0.41938	2297.17170	9.70208	8.16384	6.10800	-1.25173	0.57508	1.19514	1251809151.40955	0.01319	-0.02456	0.01228	-0.63441	0.04967	0.26151	5.80510
1.28196	8984.91237	55.42337	45.49435	5.13354	1.26889	0.30884	2.97955	1251793076.10547	-0.05396	-0.50294	0.48821	0.01224	0.05891	-0.51121	6.65505
0.46198	2577.23054	9.95031	9.90262	5.42172	-1.24873	0.66985	5.78584	1251816200.98562	0.44564	-0.19294	-0.44405	0.05087	0.12747	0.02545	6.07452
1.00137	6618.97757	22.59444	19.48874	5.06119	-0.27700	0.15166	3.26119	1251817154.28766	0.14028	-0.00920	-0.01503	0.09837	-0.56997	-0.74912	5.25127
1.15897	7930.82190	61.49309	46.36945	1.12782	0.56008	0.80604	3.61684	1251797619.05284	-0.03248	0.34063	0.40487	0.07068	0.04787	-0.20747	6.82001
1.45631	10518.92075	53.07598	44.24936	3.34887	1.25298	0.08318	3.12143	1251770592.69364	0.01468	0.54848	-0.51376	0.04904	-0.13038	0.24478	5.32767
1.42689	10257.08090	94.77267	72.88590	4.32303	0.09976	0.83662	0.40985	1251757729.12330	-0.52196	0.25576	0.10886	-0.51568	0.12980	-0.37960	5.84520
1.03365	6883.79567	113.85187	87.53947	3.88314	-0.46180	1.35267	4.46876	1251788205.53617	-0.18964	-0.67557	0.23817	0.01336	-0.04042	-0.02847	7.34621
1.02717	6830.47312	38.35167	35.94605	5.76426	0.20189	0.44845	0.50955	1251788403.34297	-0.39498	0.04991	0.28237	0.05379	0.13499	-0.25419	7.23402
1.28371	9000.15274	124.44637	65.01550	5.62815	-0.96946	0.22711	0.85438	1251755913.92748	-0.18357	0.13468	-0.94884	-0.54790	-0.38627	0.19787	7.90418
1.24734	8685.76395	63.50462	46.75156	1.61999	0.83424	0.78447	6.03175	1251806254.91355	-0.01325	-0.12697	0.31494	-0.05131	0.02202	-0.03431	7.10633
0.60363	3556.19528	27.95618	22.51540	4.33330	-0.39875	0.53576	2.50332	1251789717.88025	0.65206	0.14674	-0.61313	0.68120	0.52606	0.22746	7.46412
1.13919	7763.63630	38.85436	24.46837	4.59764	0.64701	0.23647	4.32530	1251828073.57797	0.85192	0.30137	0.38069	0.43443	-0.47820	0.75606	5.35521
0.50361	2857.54087	20.21747	16.54692	1.73055	0.65666	1.03324	2.23237	1251831683.34219	0.53704	0.57535	0.20176	0.08662	0.01635	0.10468	5.02010
0.54293	3128.13458	14.64630	13.17387	1.40920	-1.21137	0.71548	0.52703	1251791320.98127	-0.40993	-0.06172	-0.82102	-0.16475	-0.13551	0.12146	5.12441
0.51124	2909.62434	38.02947	14.70348	0.96133	-0.25595	0.76065	4.26396	1251781767.79819	0.00945	0.00574	0.00795	0.04398	0.04374	-0.00899	5.14720
0.38986	2107.42552	27.17067	16.79832	4.97207	-0.19907	1.14653	1.91016	1251781517.99391	-0.36430	0.25668	-0.35401	-0.36963	-0.24558	0.35033	5.65906
1.04464	6974.42464	72.60115	45.20113	4.21501	-1.28730	1.22883	5.99866	1251793859.76398	0.15674	0.44128	0.09618	0.00545	0.00481	-0.00055	5.23809
0.76273	4732.23133	53.52994	17.42396	2.32325	-0.55354	0.85134	1.69695	1251755263.11014	0.32939	0.46195	0.41874	-0.31103	-0.00564	0.32221	5.50548
0.76821	4773.97306	23.73941	17.25068	5.15302	0.09509	0.50611	1.80192	1251830024.00741	0.32763	-0.32745	-0.14800	0.03090	-0.66535	0.46966	5.23077
0.47414	2658.41454	18.31314	9.89015	3.05976	-0.40791	0.14703	2.38924	1251771173.43789	0.04331	-0.09483	0.01324	-0.06943	-0.72552	-0.29223	7.31095
0.96703	6339.60908	66.52350	28.96945	1.89270	0.62819	1.24705	5.77194	1251818153.04504	-0.21954	0.53679	-0.15366	-0.54103	0.04345	0.03206	5.28860
0.82706	5227.51697	61.06841	47.95608	4.74561	-0.09556	0.82033	5.71463	1251804056.40607	0.24369	-0.21781	0.04669	-0.57046	-0.19012	0.00069	7.65830
0.97127	6373.92497	41.23970	40.85537	1.87469	-1.24286	0.72658	2.75474	1251752995.51820	0.51166	0.44429	-0.67271	0.05167	-0.57520	0.09456	5.64676
0.60004	3530.52587	18.92537	15.01935	1.46892	0.54409	0.78019	3.01044	1251803179.19284	-0.05087	0.01327	0.02609	0.16455	0.56770	-0.37664	6.41340
0.96171	6296.47770	75.41723	38.13329	5.54039	1.00019	0.31128	3.72450	1251828261.28208	-0.55076	0.45331	-0.27769	-0.95827	0.06025	0.15929	5.76153
1.02188	6786.98696	95.51739	54.99607	6.02371	-1.29513	1.05996	4.87657	1251789594.17728	0.10884	-0.76165	0.55685	0.18836	0.34808	-0.30447	6.17968
1.35437	9616.69167	88.15019	78.25921	3.51159	0.55038	0.67159	1.19309	1251794889.61450	-0.07906	-0.05655	-0.39336	0.05370	-0.13532	0.05293	5.28867
0.92697	6016.80608	62.62087	19.71173	1.54043	-0.19431	0.70052	5.68241	1251820176.75019	-0.24681	0.35853	0.52827	-0.18656	-0.51977	0.39426	5.45318
0.50082	2838.56596	15.85278	13.15226	5.97668	-0.13666	0.52173	0.60953	1251755360.59714	-0.55159	0.05344	0.10427	-0.13380	-0.28517	0.18753	7.15579
0.72358	4436.07363	30.13730	13.28489	1.37546	0.77759	0.55759	1.21356	1251814105.57812	-0.66014	-0.36346	-0.05065	-0.00092	-0.00875	0.01237	6.73500
1.31069	9234.66316	74.16692	42.16264	0.96613	0.41913	0.57000	6.22784	1251781974.70349	-0.05107	-0.05842	-0.08976	0.00728	0.20444	-0.39109	5.09998
